"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",0,NA,NA,NA,NA,NA
"WASH7P",29.1300700313084,0.133856384197007,0.440935085309903,0.303573901593538,0.761452537269633,0.943622115569863
"FAM138A",0,NA,NA,NA,NA,NA
"FAM138F",0,NA,NA,NA,NA,NA
"OR4F5",0,NA,NA,NA,NA,NA
"LOC729737",130.422403143485,0.14801753723292,0.237144197486783,0.624166809905476,0.532518041377652,0.870953780650128
"LOC100132287",0,NA,NA,NA,NA,NA
"LOC100132062",0,NA,NA,NA,NA,NA
"LOC100133331",25.8935175422239,-0.000584559998049717,0.416119862060284,-0.00140478754163633,0.998879142077976,0.999775580429697
"OR4F29",0,NA,NA,NA,NA,NA
"OR4F16",0,NA,NA,NA,NA,NA
"OR4F3",0,NA,NA,NA,NA,NA
"LOC100288069",19.8573686739581,0.0845121919896661,0.486828481680335,0.173597468451238,0.862181821696236,0.968077579434661
"LINC00115",14.1596325404354,-0.276073439144289,0.567594503957379,-0.486392023212789,0.626689245076534,0.903186188071139
"FAM41C",0.358903863768058,0.0492900575214545,3.60575582708259,0.0136698267673147,0.989093395950142,NA
"SAMD11",20.3994581845229,0.855439885065149,0.554032419649225,1.54402496086195,0.122582285813596,0.545077717904265
"NOC2L",2248.47050313893,0.178083760817604,0.0974242320195582,1.82792060174365,0.0675614686423708,0.432746897652175
"KLHL17",140.958215387384,0.140064394993791,0.270855515010876,0.517118490233313,0.605073446876783,0.895909941765834
"PLEKHN1",203.220538928506,-0.0469635663312382,0.183956368778017,-0.255297311222259,0.798493476491034,0.953077073434836
"HES4",39.0940748617059,-0.601362064101184,0.379079737581753,-1.58637353696989,0.112654599749655,0.528349192023696
"ISG15",71.441078046108,0.783901552694399,0.296236723663891,2.64619977901123,0.00814017260344915,0.139710516056623
"AGRN",3697.79300134403,-0.0274912455881036,0.286930474421694,-0.0958115224376638,0.923670265881832,0.983045031293563
"RNF223",5.96690518003605,-0.523299539941592,0.889956250220867,-0.588005915809592,0.556528322041743,NA
"C1orf159",70.9680361501288,-0.00157786606705431,0.33218801874395,-0.0047499186545633,0.996210127491471,0.998957948806017
"MIR200B",0,NA,NA,NA,NA,NA
"MIR200A",1.73436025121458,0.786484615605309,1.6221316183409,0.484846363089647,0.627785332174347,NA
"MIR429",6.30219018533246,-1.0837501236247,0.867270842117819,-1.24960977700836,0.211442129846667,NA
"TTLL10",0.0774832858600712,0.707947378463969,4.06480878937946,0.174164989092155,0.861735799635721,NA
"TNFRSF18",0.587006776044077,1.31940786380776,2.75977710418993,0.478084937296066,0.632589752435609,NA
"TNFRSF4",0.300838501801064,1.61950864695634,3.81159691599207,0.424889798856085,0.670917011463438,NA
"SDF4",1887.1594177172,0.156612198898269,0.137692945646299,1.1374017613115,0.255370371336323,0.702433199391694
"B3GALT6",197.239452831409,-0.157568770416342,0.179173294818748,-0.879421068724213,0.379173012688159,0.799958929111562
"UBE2J2",330.251557576964,-0.0344476074026203,0.145410480548292,-0.236899068572846,0.812735092594904,0.956013619556924
"SCNN1D",11.3117051397002,-0.331983666199696,0.677744920289502,-0.48983571290787,0.624250157124648,NA
"ACAP3",387.837823261048,0.00408193421608775,0.156969763405285,0.0260045892121815,0.97925367802809,0.994656966542676
"PUSL1",99.0326395818407,0.00741636844356023,0.264892576599037,0.0279976454560532,0.977664029065938,0.99405257554809
"TAS1R3",2.39347541897526,-3.82891917497119,1.69630029104319,-2.25721777870855,0.0239944700338842,NA
"DVL1",705.7836784939,0.0572385266606855,0.183111209129373,0.312588873902552,0.754593032166206,0.941730220212002
"MXRA8",21.6232246764396,0.321646507690279,0.530518169481631,0.606287449126502,0.544323891448192,0.874464187094035
"AURKAIP1",530.715907201403,0.212831295319246,0.141722814207752,1.50174336086253,0.133163400902697,0.562178084863182
"CCNL2",1225.34067558881,0.0793967959656465,0.126174015857159,0.629264238173502,0.529176079686434,0.869612253537696
"LOC148413",194.326650671382,-0.0404987645225715,0.178551925384165,-0.226817853884443,0.820565380098584,0.957322972027495
"MRPL20",707.499239968375,0.107447836122946,0.138509714343138,0.775742240408925,0.437901193862389,0.823919071018067
"ANKRD65",302.579587072088,-0.160532467588152,0.170149640227251,-0.943478148844427,0.345436386923539,0.77816514976976
"TMEM88B",0.0774832858600712,0.707947378463969,4.06480878937946,0.174164989092155,0.861735799635721,NA
"VWA1",299.319784742343,0.154213483813875,0.385454586486315,0.400082108815042,0.689096041322868,0.918156953326349
"ATAD3C",15.4414796462739,0.40188267940473,0.535438801665904,0.750566970780521,0.452913305113625,0.828650293246481
"ATAD3B",258.317453469297,0.294869578395133,0.207936371649504,1.4180760011152,0.156168577011977,0.600897136037081
"ATAD3A",259.880030605655,0.364861354262803,0.179082378316342,2.037393950723,0.0416105795893104,0.349986113632526
"TMEM240",0.635820618996044,-1.04792908222167,2.74001028823834,-0.382454433372008,0.702124321430375,NA
"SSU72",1162.93789840079,0.0320567311328174,0.110431415105396,0.290286338377738,0.771597189496788,0.946023110202282
"MIB2",133.648555038216,-0.099645010667805,0.269325510025086,-0.369979845795238,0.71139750728512,0.924773915420069
"MMP23B",0,NA,NA,NA,NA,NA
"MMP23A",0,NA,NA,NA,NA,NA
"CDK11B",282.569342724706,0.312060058982362,0.166054622495755,1.87926150017498,0.0602087958377063,0.413465897919268
"SLC35E2B",436.291159030266,-0.00380817746188341,0.135763702144402,-0.0280500413713891,0.977622239586656,0.99405257554809
"CDK11A",123.24116159431,0.415644920289602,0.204095491366693,2.03652181391319,0.0416979849261972,0.349986113632526
"NADK",456.507224698933,0.103881717275791,0.131159845712977,0.792023783735764,0.42834680843864,0.820127958803095
"GNB1",9536.87275355837,0.100253603287046,0.0880273638585291,1.13889135028701,0.254748473773644,0.702313445327301
"CALML6",7.04612093737024,0.422849753392459,0.806004393710968,0.524624625736336,0.599844164269411,NA
"TMEM52",3.51808460936349,0.682931562727657,1.24036790150747,0.550587903716036,0.581916202851948,NA
"GABRD",0,NA,NA,NA,NA,NA
"PRKCZ",714.731739832442,-0.0179485769298477,0.115507549385245,-0.155388777836372,0.876514830698527,0.971576915769841
"SKI",790.054508062873,0.183432002710322,0.138432257239643,1.32506690541627,0.185148961535273,0.634456467163289
"MORN1",36.2854338518959,0.34092128753219,0.36462342724712,0.934995565441639,0.349790584792591,0.779861037108199
"LOC100129534",22.8134693569271,-0.152442111861941,0.458637188988756,-0.332380617014636,0.739601872765268,0.936365942123779
"RER1",1735.76116977468,0.0430180783927356,0.0938392394576027,0.458423135581481,0.646648473286178,0.908217598987129
"PEX10",167.646407050282,-0.317369521710155,0.182797084579903,-1.73618481082191,0.0825311620889125,0.469936794075806
"PLCH2",1254.61169761302,0.162804293640216,0.144498425902785,1.12668558583293,0.259875438870422,0.706932182026741
"PANK4",312.804137692949,0.27584572815762,0.156076749839253,1.76737232446037,0.0771658946849363,0.456939406976891
"HES5",1.91671337600316,-0.426917834031144,1.54083916047352,-0.27706839557475,0.781727588836851,NA
"TNFRSF14",93.1416452419133,-0.310760168259877,0.255733339535258,-1.21517268270386,0.224300236927619,0.679356208639395
"FAM213B",419.216647848671,0.0590261869224445,0.141823446736061,0.416194841409367,0.677267434220881,0.915880009711891
"MMEL1",1.9852696532504,1.18848286053182,1.59778260376827,0.743832645147627,0.456977727799876,NA
"TTC34",0,NA,NA,NA,NA,NA
"ACTRT2",0,NA,NA,NA,NA,NA
"PRDM16",31.9916335519254,-0.246015031653912,0.381853667553065,-0.64426520564903,0.51940347418112,0.865178248641167
"MIR4251",0,NA,NA,NA,NA,NA
"ARHGEF16",275.569291005883,0.21765575925359,0.187769437776303,1.1591649942143,0.246388937337329,0.694388909997327
"MEGF6",68.6177253939861,-0.291180098423704,0.277566920628002,-1.04904466917348,0.294157560043252,0.738131823434196
"MIR551A",0,NA,NA,NA,NA,NA
"TPRG1L",867.2805759868,0.087816736633494,0.111552026411099,0.7872267269253,0.431149154176019,0.82077061292442
"WRAP73",148.07090294929,0.075571769882937,0.207316547686572,0.364523578683111,0.71546706995263,0.926190669363807
"TP73",10.9718066882516,-0.941680413660646,0.67681672630271,-1.3913373843534,0.16412314244281,NA
"TP73-AS1",209.806923042799,0.0593610772699397,0.176998989737784,0.335375232129179,0.737342049079554,0.93464663941506
"CCDC27",0,NA,NA,NA,NA,NA
"SMIM1",7.32304579163785,0.788266279389268,0.799088236452658,0.986457118788995,0.323908847821476,NA
"LRRC47",601.825851434434,0.178446066209086,0.120148060997195,1.4852180278902,0.137486077923867,0.568569623182568
"CEP104",653.74958713453,0.0553732166602582,0.118642913028627,0.466721654473348,0.64069903485533,0.905896583237658
"DFFB",98.6236503198463,0.344917852996575,0.227044496650053,1.51916412018655,0.128721190194154,0.553020587493952
"C1orf174",214.153532780417,0.0986501782809786,0.163847946455996,0.602083702693659,0.547118422217307,0.87614117595875
"AJAP1",17.6241198504645,-0.908552423827357,0.535475065405254,-1.69672218656858,0.0897491960589558,0.48174542671608
"MIR4689",0,NA,NA,NA,NA,NA
"NPHP4",132.140861138877,0.363344745007753,0.202216677946398,1.79680899072066,0.072365948560742,0.446132726044821
"KCNAB2",40.483901585612,0.0160061541469746,0.333578572970952,0.0479831603223761,0.961729663263189,0.991813651750918
"CHD5",3.21981414826963,-0.0555035012955408,1.24109483893569,-0.0447214020671766,0.964329374380425,NA
"RPL22",5136.91522437387,0.254725792473907,0.0941270526657118,2.70619110298243,0.00680598674082758,0.124279182541413
"RNF207",304.114589044835,0.39982451525929,0.170734410614296,2.34179222466483,0.0191913955061114,0.229526103474071
