"","logFC","logCPM","F","PValue"
"WASH7P",0.103543781465647,1.12366106870956,0.081431229198229,0.779802089279655
"LOC729737",0.148532987339825,3.28935230595688,0.495110636623672,0.493899731822294
"LOC100133331",-0.012152962601647,1.05373293114072,0.00190865918854273,0.965807866788635
"LOC100288069",0.0988019321312986,0.738377991208555,0.0871948747062648,0.772374236433942
"LINC00115",-0.297986203135093,0.280250164712356,0.630981693367131,0.441063599311454
"SAMD11",0.926862905253387,0.759220757501909,4.09674293311473,0.0637241085672883
"NOC2L",0.17552715316743,7.39684962241772,4.07541538181541,0.0643328954470899
"KLHL17",0.129547794450824,3.38733678668605,0.235225108712425,0.635637442805902
"PLEKHN1",-0.0503499945046439,3.93540363065097,0.103667251162647,0.752521875760745
"HES4",-0.602542140920215,1.58897434569786,3.93565625912249,0.0684991305074551
"ISG15",0.796213775039487,2.47213315817652,10.2973674849574,0.00674298785759525
"AGRN",-0.030205961842559,8.11348712722513,0.0294333869221283,0.866388144388474
"C1orf159",-0.0170924339025883,2.40708585763681,0.00308664767533038,0.956527577519441
"SDF4",0.154225950799136,7.14310264299036,1.32889958026389,0.269479426811613
"B3GALT6",-0.159053508899646,3.89145225182293,1.18875462135654,0.295112422919462
"UBE2J2",-0.0366911600453839,4.63161626371554,0.0933726456327526,0.764704946902009
"SCNN1D",-0.52567434219965,-0.133612940822577,1.03004041318985,0.32841787443546
"ACAP3",0.000374833618361306,4.8616261403471,6.97512053062801e-06,0.997932307624644
"PUSL1",-0.00857704949916017,2.89712742283689,0.00135691666662794,0.971167550194342
"DVL1",0.0536464373185615,5.72333616800594,0.0813965169716273,0.779847677466942
"MXRA8",0.27073139676938,0.673718686077547,0.351144739719847,0.563494454805693
"AURKAIP1",0.209776927011513,5.31590164012664,2.71282604088926,0.123166104594503
"CCNL2",0.0770353249904477,6.52058564966057,0.442027663164625,0.517609567291692
"LOC148413",-0.0424294170465736,3.87691120434316,0.0858307795232258,0.774107415306958
"MRPL20",0.107472305563389,5.73344805961898,0.731907258110552,0.407548778061017
"ANKRD65",-0.162672146391327,4.50663371329416,1.13464835793421,0.305910577022278
"VWA1",0.140033119898372,4.4805512509605,0.337900664448051,0.57085085123282
"ATAD3C",0.42020558081488,0.447464948867366,1.55361359491385,0.234300468820374
"ATAD3B",0.286037743435472,4.27359605551426,2.03242194493836,0.177225804570933
"ATAD3A",0.360493169118501,4.28732425093376,5.11133671570151,0.0413090165112383
"SSU72",0.0295330586417072,6.4473589454673,0.0955985366385902,0.762010220790816
"MIB2",-0.107965603456514,3.32358525803738,0.17154112379082,0.685406616592101
"CDK11B",0.311652222730765,4.41120338284424,4.72718127810146,0.048476754968282
"SLC35E2B",-0.00621634139452315,5.0324139060518,0.00290795004377135,0.957803377506231
"CDK11A",0.41289701314875,3.22596761925647,7.36006755718331,0.0175711934052702
"NADK",0.101723350552902,5.10003873822363,0.847249669129364,0.373871345558844
"GNB1",0.097972054886341,9.48052762101659,1.40345591280729,0.257067873094388
"PRKCZ",-0.0202886293867933,5.74560867455151,0.04240652268274,0.839993449088523
"SKI",0.180823639263126,5.8876513768339,1.99252975432817,0.181245343153576
"MORN1",0.317583669184738,1.50076665128916,1.46214096348113,0.247833295673875
"LOC100129534",-0.143461390890401,0.864190453669396,0.191841985399007,0.668480227449397
"RER1",0.0408132354328919,7.02329274848403,0.250212039175343,0.625173023861344
"PEX10",-0.318661640368481,3.67305144439703,5.10729736331737,0.0413775695617883
"PLCH2",0.160340653752077,6.55384945787968,1.31437791290776,0.271990725392317
"PANK4",0.272941259698794,4.55213088920933,4.20991273129025,0.0606065482555574
"TNFRSF14",-0.315822285347799,2.79935092747926,2.19659150821492,0.161825799730202
"FAM213B",0.0567587822965633,4.98070804237631,0.214473485323607,0.650837203759212
"PRDM16",-0.255639399474225,1.30798312073616,0.894698415832914,0.361225712507007
"ARHGEF16",0.212633151377111,4.36501464022393,1.4958158506218,0.242733527786328
"MEGF6",-0.29344834883103,2.37259415111146,1.86523450019225,0.194875074192937
"TPRG1L",0.0853071442235209,6.02633571296886,0.807983128783926,0.384844278109674
"WRAP73",0.0697359578392817,3.47120268656774,0.162488892751197,0.693337660455686
"TP73-AS1",0.0568980679064681,3.97843774096228,0.1501749781201,0.704553704667022
