"","logFC","logCPM","F","PValue"
"WASH7P",0.11176126378194,1.12302720564039,0.0927965598093458,0.765547402187326
"LOC729737",0.155974297999765,3.2896069752707,0.526835060210958,0.481000905804003
"LOC100133331",-0.00441655730867447,1.05242988423587,0.000258879577159686,0.98741086749106
"LOC100288069",0.10662575244198,0.737123599446586,0.101588567358653,0.75507225535237
"LINC00115",-0.289670328557459,0.278770012756072,0.600483228905497,0.452470559097721
"SAMD11",0.933467681339752,0.758471809082039,4.0694900845505,0.0651346200472363
"NOC2L",0.18347044552021,7.39732012427361,4.35427720027464,0.0575006272003206
"KLHL17",0.138146870118588,3.38795994290103,0.256781664235114,0.620955196430067
"PLEKHN1",-0.0419355933030467,3.93528991655378,0.0702131004985729,0.79524551098666
"HES4",-0.594930230985609,1.58789301424336,3.77717878520812,0.0742717883317674
"ISG15",0.803662934884296,2.47207828403737,10.2476349384726,0.00707319060636558
"AGRN",-0.0215938110165618,8.11458064025686,0.0142622095292152,0.90679288795973
"C1orf159",-0.00841923573196587,2.4069276310881,0.000727542644670749,0.978897225060581
"SDF4",0.162474760418028,7.14410796150972,1.39623262642945,0.258841825969901
"B3GALT6",-0.152003850417583,3.89106120048046,1.07765264169625,0.318435046498857
"UBE2J2",-0.0284076159776038,4.63154239491973,0.0552195381880392,0.817934811591863
"SCNN1D",-0.51624033699342,-0.134996757438426,0.985902248423188,0.339144465968213
"ACAP3",0.00881381474820533,4.86189167811708,0.00376300763588021,0.952033159478803
"PUSL1",0.000798996566495056,2.89679545152833,1.05716180609259e-05,0.997455883361333
"DVL1",0.0622143636847855,5.7243396989015,0.104341809909719,0.751895834345513
"MXRA8",0.278811579877999,0.673071686806621,0.363743216001917,0.556969685453101
"AURKAIP1",0.218480864701003,5.31634516950478,2.86715508348083,0.114581554870336
"CCNL2",0.0848051808574968,6.52115760853719,0.513160846302763,0.486637582913884
"LOC148413",-0.0344590761857263,3.87654733792671,0.0562593428622954,0.816262598388832
"MRPL20",0.114453907735838,5.73352733807737,0.821848618739589,0.381388018589957
"ANKRD65",-0.154673285581597,4.50663886995285,0.994557275289654,0.337109552975399
"VWA1",0.149186406042628,4.48154912848552,0.367251639250542,0.555100120110721
"ATAD3C",0.427783298519553,0.446098062601506,1.63476917173578,0.223739411685133
"ATAD3B",0.294982003424656,4.27419305556055,2.08707626970756,0.17257981010223
