"","logFC","logCPM","F","PValue"
"WASH7P",0.0740584164761538,1.12200151711643,0.0417910049539002,0.840950846069254
"LOC729737",0.117786738989141,3.28884321844081,0.309823666484521,0.58654688563129
"LOC100133331",-0.0378453112089405,1.05204662103229,0.017941432321143,0.895345602980913
"LOC100288069",0.0729277915114679,0.736468004721624,0.0471823047454687,0.831164041080162
"LINC00115",-0.322540444564666,0.278236008811082,0.735556964377577,0.405482798152616
"SAMD11",0.897940711554782,0.757197341966711,3.87699982693523,0.0690033555835033
"NOC2L",0.145707576883742,7.39618094724246,2.64803250147446,0.12589201820523
"KLHL17",0.0979747290398181,3.38645702835688,0.138792600544433,0.715044798282252
"PLEKHN1",-0.0794329771751507,3.93492690575731,0.261398664431073,0.6171020134614
"HES4",-0.630584610181702,1.58821978184426,4.3305024277322,0.0562097674451985
"ISG15",0.76709022245228,2.47001965447931,9.53902107087336,0.00798578831211548
"AGRN",-0.0623937035594196,8.11389320804073,0.129422406872341,0.7243824291543
"C1orf159",-0.0472635139752404,2.40598144509074,0.0242329681894334,0.878508380914345
"SDF4",0.122911903027976,7.14262161947476,0.847928318376636,0.372682509189165
"B3GALT6",-0.188107954023292,3.89209178381867,1.59144859834445,0.227665473955301
"UBE2J2",-0.065691269586987,4.63134477494183,0.29796735498443,0.593722633101355
"SCNN1D",-0.550637885718024,-0.135806295783621,1.14626827709235,0.302382485305767
"ACAP3",-0.0293944408874493,4.86129081396956,0.044003058524988,0.83685970838665
"PUSL1",-0.0372490534795834,2.8957653273759,0.0263599387321538,0.873336621156252
"DVL1",0.0221212953688895,5.72310860662794,0.014343374345161,0.906366182053479
"MXRA8",0.241033763056288,0.671837571028108,0.281381817834744,0.604081748865245
"AURKAIP1",0.180557888311602,5.31450194632336,2.07175399828354,0.171958508895153
"CCNL2",0.0464910562673012,6.52066392938442,0.156875765712924,0.69799991993352
"LOC148413",-0.0708386556566296,3.87655391048549,0.237883991016814,0.633262531945293
"MRPL20",0.0779780274916553,5.73368494583972,0.37127446467756,0.552038354491093
"ANKRD65",-0.192417331697878,4.50707323815952,1.59692294867014,0.226908625748442
"VWA1",0.108628822737273,4.47945607244464,0.213102179068891,0.651414071255669
"ATAD3C",0.395446824508693,0.445375069725295,1.34464785847982,0.265546453201394
"ATAD3B",0.256229736978638,4.27187812062886,1.69942412232112,0.21332326015948
"ATAD3A",0.331214326251516,4.28548002626338,4.4189957816241,0.0540530530725933
"SSU72",0.000326390656889915,6.44768503650266,1.0959609285057e-05,0.997405137278492
"MIB2",-0.138412026839651,3.32305799817533,0.292505801584026,0.597091336524571
"CDK11B",0.281754652146167,4.41050667439288,3.71527829544141,0.0743842692408559
"SLC35E2B",-0.035990630426266,5.03258918133822,0.0938922785434116,0.763780560539511
"CDK11A",0.38460649497451,3.2243305040125,6.18338309660856,0.0260822116731897
"NADK",0.072889400348288,5.09925275997759,0.435701985735285,0.51988102832334
"GNB1",0.0684016127194068,9.4802804326918,0.625959648621881,0.441995233890505
"PRKCZ",-0.0493370769254826,5.74552812256428,0.247233321440112,0.626721517036525
"SKI",0.150398756659316,5.88686465802219,1.38672543519739,0.258524812667759
"MORN1",0.291065983019461,1.49867025241723,1.22681140468056,0.286633145507434
"LOC100129534",-0.17099627230149,0.862650993435048,0.268335828617561,0.612511819414073
"RER1",0.0114142303762905,7.02337634608672,0.0179727164127533,0.895254983980269
"PEX10",-0.346158755182221,3.67329260561702,5.96973225127489,0.0283556211004231
"PLCH2",0.129017969226613,6.55350143147024,0.852261101811133,0.371498820580423
"PANK4",0.243303285397828,4.55090679494393,3.31802643717535,0.089882700432763
"TNFRSF14",-0.345831276216923,2.79952151248365,2.60087350374804,0.129036729553265
"FAM213B",0.0282290209906527,4.98008887194427,0.0536970592750253,0.820092113728185
"PRDM16",-0.283329731420252,1.30666556268954,1.07474686880582,0.317392421515925
"ARHGEF16",0.182100238006686,4.36400945226913,1.11509170272579,0.308800724866215
"MEGF6",-0.32258541997931,2.37232474452257,2.19886853038051,0.160196969388909
