"","S1_Mock1","S1_Mock2","S1_Mock3","S1_Cov1","S1_Cov2","S1_Cov3","S2_Mock1","S2_Mock2","S2_Mock3","S2_Cov1","S2_Cov2","S2_Cov3","S6_Mock1","S6_Mock2","S6_Mock3","S6_Cov1","S6_Cov2","S6_Cov3","S7_Mock1","S7_Mock2","S7_Mock3","S7_Cov1","S7_Cov2","S7_Cov3","S15_Mock1","S15_Mock2","S15_Cov1","S15_Cov2"
"DDX11L1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"WASH7P",29,24,23,34,19,44,68,43,33,65,79,48,37,4,22,1,2,4,25,60,84,47,32,41,261,140,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC729737",112,119,113,127,84,270,11,3,6,8,10,10,13,2,18,9,2,1,65,184,435,271,137,265,15,70,17,0
"LOC100132287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100133331",19,21,36,16,23,54,54,23,20,45,42,36,26,2,19,9,3,6,4,14,30,14,12,23,11,21,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100288069",13,17,27,19,9,50,23,18,5,30,17,14,8,2,9,4,1,1,0,1,15,11,4,9,4,6,0,0
"LINC00115",9,12,26,12,7,28,29,15,2,17,13,16,44,3,28,105,24,15,4,12,22,12,1,10,51,46,0,0
"FAM41C",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SAMD11",11,20,8,26,10,63,1013,517,456,1052,961,720,341,29,234,171,56,52,0,8,10,3,5,6,25,5,0,0
"NOC2L",1773,1757,2554,1915,1605,5162,2188,1260,1070,2375,2360,1854,2072,191,1566,368,114,84,916,2198,4414,1302,616,1325,1083,1989,0,1
"KLHL17",110,133,131,168,78,242,317,218,155,401,389,329,199,20,167,71,24,17,69,163,244,106,61,111,57,176,0,0
"PLEKHN1",170,172,254,186,120,403,114,73,59,141,111,97,61,9,41,14,9,10,45,109,227,136,58,156,7,44,0,0
"HES4",26,52,57,30,17,64,307,173,123,320,291,241,104,8,121,43,37,26,228,546,852,361,347,844,310,302,12,0
"ISG15",45,52,51,82,45,211,90,42,37,1418,1242,877,84,7,63,30,6,4,518,1387,2423,7505,3781,8180,1398,4081,2231,324
"AGRN",2887,3576,4140,3682,2053,6988,9042,4665,3502,9511,8947,7039,8375,837,6372,1574,600,353,6532,14378,31240,14808,8116,18996,648,795,45,1
"RNF223",7,4,9,6,4,4,1,2,0,1,0,0,0,0,1,0,0,0,35,56,116,106,65,158,0,16,0,0
"C1orf159",47,76,77,83,34,120,363,183,144,355,377,287,175,19,143,32,11,14,137,344,737,160,106,238,153,209,0,0
"MIR200B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0
"MIR200A",0,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,1,0,1,0,0,0,0
"MIR429",3,9,14,3,2,11,0,0,1,0,0,0,0,0,0,0,1,1,1,10,4,9,1,3,0,1,0,0
"TTLL10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,4,11,13,0,0
"TNFRSF18",0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,6,8,10,60,266,2,0
"TNFRSF4",0,0,0,1,0,1,3,0,0,0,1,0,1,0,1,1,0,0,0,2,2,1,0,1,51,273,8,0
"SDF4",1530,1572,1975,1840,1232,3914,2752,1644,1366,3066,3048,2305,2368,226,1738,421,171,119,2506,5599,10424,3589,2122,4390,2091,2593,49,8
"B3GALT6",202,167,222,130,146,397,822,437,375,815,841,622,456,52,374,135,54,40,243,602,1172,288,211,447,316,408,16,0
"UBE2J2",275,273,418,277,230,637,685,376,315,830,722,593,565,43,354,163,43,23,251,563,1074,402,259,468,1025,1435,2,0
"SCNN1D",7,10,20,12,8,9,139,84,43,122,84,83,90,7,53,13,7,0,13,14,48,16,10,28,57,9,0,0
"ACAP3",305,339,470,357,251,744,645,355,284,575,561,434,711,62,560,145,46,21,189,568,1129,278,157,362,241,153,0,0
"PUSL1",75,81,131,108,55,172,274,158,150,272,276,203,247,21,169,40,20,16,197,490,873,262,126,339,105,209,2,0
"TAS1R3",8,1,4,0,0,1,10,7,8,15,16,16,5,0,3,3,0,0,0,1,3,0,0,2,19,4,0,0
"DVL1",544,657,762,738,395,1358,1693,918,720,1757,1614,1331,1211,139,946,328,115,68,673,1737,3524,1447,709,1644,308,679,1,0
"MXRA8",18,21,12,27,17,28,124,56,49,75,73,54,8,0,5,9,3,1,1,11,26,6,13,11,1026,160,4,0
"AURKAIP1",401,397,630,517,358,1139,1856,1067,818,1967,1902,1454,1235,82,771,202,86,55,732,2021,3380,736,446,956,1900,1874,22,1
"CCNL2",926,1115,1358,1049,866,2555,1752,1155,837,2277,2049,1772,3038,228,2068,629,158,111,352,793,1731,740,437,791,4966,5361,1,2
"LOC148413",192,140,238,157,124,418,296,175,139,294,304,245,324,32,232,99,29,22,143,270,629,219,94,256,287,362,3,0
"MRPL20",663,541,738,513,491,1799,1225,719,544,1651,1431,1012,1385,116,903,269,60,61,507,1114,2108,649,308,602,1496,2141,4,6
"ANKRD65",242,298,375,256,174,594,0,0,0,1,0,0,1,0,6,0,2,0,0,0,7,0,0,3,48,64,0,0
"TMEM88B",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VWA1",217,270,319,359,163,522,490,247,240,674,598,439,75,8,67,31,7,8,1295,3195,6371,987,709,1533,997,262,21,0
"ATAD3C",11,9,20,12,11,46,0,0,0,0,0,0,0,0,0,0,0,0,4,10,24,11,4,9,103,15,3,0
"ATAD3B",154,223,292,287,172,508,38,29,28,40,45,34,43,2,29,8,1,1,202,488,988,290,140,319,646,679,0,0
"ATAD3A",170,202,284,274,181,569,834,471,368,822,806,657,547,51,365,103,29,26,434,1011,1866,507,206,603,297,830,0,0
"TMEM240",1,1,0,0,1,0,6,2,2,5,6,3,3,1,0,1,0,0,6,18,26,6,7,13,35,11,0,0
"SSU72",1078,886,1344,827,851,2692,2010,1158,895,2510,2078,1670,976,76,765,235,78,71,769,1675,3393,1239,666,1404,2621,2585,117,5
"MIB2",104,133,156,147,59,237,481,230,221,483,422,384,715,61,617,176,98,41,153,481,803,170,119,293,199,152,0,1
"MMP23B",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MMP23A",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11B",229,227,256,243,210,695,498,322,236,519,565,389,344,31,224,100,29,16,167,305,621,273,154,290,900,576,2,0
"SLC35E2B",376,375,497,357,304,889,843,508,382,925,809,612,725,67,480,114,31,43,298,472,1306,616,348,622,322,314,7,0
"CDK11A",97,82,125,113,98,295,245,155,127,253,280,219,228,18,150,83,18,15,57,87,212,129,55,115,379,234,0,0
"NADK",388,334,555,396,319,976,1055,678,462,1110,1041,832,688,72,500,124,44,30,401,869,1833,1114,539,1278,1312,1380,120,10
"GNB1",8479,6953,11155,7486,7295,20663,6351,3562,2732,7816,7161,5134,3699,306,2668,625,228,172,2374,4307,10122,5748,2941,5752,9491,14572,716,53
"CALML6",4,6,7,10,4,12,13,3,5,8,9,5,18,1,11,2,0,1,0,1,1,0,3,2,3,3,0,0
"TMEM52",0,6,1,4,2,10,6,0,1,7,18,6,2,1,11,1,0,1,3,18,47,5,2,3,19,11,0,0
"GABRD",0,0,0,0,0,0,15,6,6,10,11,9,5,0,9,2,0,0,0,0,0,0,0,0,24,2,0,0
"PRKCZ",638,552,894,579,478,1510,254,157,123,322,249,225,444,37,354,60,19,15,143,300,561,218,133,247,414,516,0,0
"SKI",633,633,850,763,529,1669,937,438,422,1048,890,691,313,31,215,152,39,36,233,415,1053,454,244,486,648,1059,60,0
"MORN1",23,25,46,39,26,75,127,75,78,142,155,93,92,13,82,16,10,7,26,62,182,41,29,66,58,19,0,0
"LOC100129534",28,16,24,20,12,46,65,36,24,39,34,30,33,4,8,6,0,1,9,18,38,8,6,16,8,17,0,0
"RER1",1495,1370,2065,1319,1336,3642,2120,1287,981,2495,2125,1649,1553,160,1076,242,96,71,1012,2126,4139,1303,770,1516,1787,4010,61,0
"PEX10",157,144,244,114,94,354,401,250,199,411,377,296,464,46,335,89,32,35,168,387,810,282,168,400,160,52,0,0
"PLCH2",948,1118,1290,1204,852,2578,13,5,5,8,11,9,3,0,3,2,1,1,5,16,28,46,14,58,0,16,0,0
"PANK4",242,239,329,301,232,664,362,193,162,393,369,308,195,19,139,72,17,6,115,251,609,265,120,315,300,1014,0,0
